397,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","MONZA E DELLA BRIANZA","PEUGEOT",1560.00,"GASOL",80,"13/11/2009","4",137,2020
398,"A","TRATTORE PER SEMIRIMORCHIO","DI TERZI CON AUTORIZZAZIONI VINCOLATE","BERGAMO","VOLVO",12780.00,"GASOL",353,"15/10/2009","5",,18000
416,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MILANO","SUZUKI",599.00,"BENZ",72,"20/10/2009","3",,430
423,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","LECCO","FIAT - INNOCENTI",1242.00,"BENZ",44,"15/02/2007","4",133,1305
435,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BRESCIA","VOLKSWAGEN",1422.00,"GASOL",59,"30/06/2006","4",122,1650
437,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MILANO","YAMAHA",395.00,"BENZ",25,"03/07/2006","2",,408
438,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO","KIA",1086.00,"BENZ",48,"09/02/2005","3",124,1350
439,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","COMO","PEUGEOT",1360.00,"BENZ",55,"09/02/2005","3",149,1450
447,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","COMO","FIAT - INNOCENTI",1242.00,"BENZ",44,"09/02/2005","3",136,1385
458,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","VARESE","FIAT - INNOCENTI",1242.00,"BENZ",44,"09/06/2004","3",136,1385
464,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MONZA E DELLA BRIANZA","YAMAHA",250.00,"BENZ",16,"10/05/2007","3",,358
471,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","VARESE","MERCEDES",1796.00,"GASOL",80,"04/04/2016","5",113,2025
485,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MILANO",,155.00,"BENZ",11,"04/04/2016","4",,340
496,"A","AUTOCARRO PER TRASPORTO DI COSE","PROPRIO","BERGAMO","OPEL",1598.00,"GASOL",81,"04/04/2016","6",97,2100
507,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BRESCIA","PORSCHE",2967.00,"GASOL",184,"04/04/2016","6",164,2575
512,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","MILANO","SEAT",1422.00,"GASOL",66,"04/04/2016","6",104,1640
530,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","MILANO","FIAT - INNOCENTI",1248.00,"GASOL",70,"04/04/2016","6",107,1875
531,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","SONDRIO","FIAT - INNOCENTI",1598.00,"GASOL",88,"04/04/2016","6",110,1770
533,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","PAVIA","CHRYSLER",1598.00,"GASOL",88,"04/04/2016","6",115,1905
534,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO","DACIA",898.00,"B/GPL",66,"04/04/2016","6",103,1570
537,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","VARESE","VOLKSWAGEN",1197.00,"BENZ",63,"04/04/2016","6",113,1720
542,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","LECCO","FIAT - INNOCENTI",1598.00,"GASOL",88,"04/04/2016","6",110,1770
544,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","SONDRIO","YAMAHA",847.00,"BENZ",85,"04/04/2016","3",,390
557,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","COMO","DACIA",1461.00,"GASOL",66,"04/04/2016","6",98,1600
562,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","VARESE","SKODA",1968.00,"GASOL",110,"04/04/2016","6",122,2109
563,"A","AUTOCARRO PER TRASPORTO DI COSE","PROPRIO","MILANO","RENAULT",1461.00,"GASOL",55,"04/04/2016","5",119,1884
566,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","LODI","SUZUKI",998.00,"BENZ",50,"04/04/2016","6",99,1260
569,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","PAVIA","AUDI",1968.00,"GASOL",110,"04/04/2016","6",106,1865
